Ticker,city,state,country,industry,sector,fullTimeEmployees,exchange,shortName,longName
CHRW,Eden Prairie,MN,United States,Integrated Freight & Logistics,Industrials,16523,NMS,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc."
CDNS,San Jose,CA,United States,Software - Application,Technology,10200,NMS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc."
CZR,Reno,NV,United States,Resorts & Casinos,Consumer Cyclical,49000,NMS,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc."
CPT,Houston,TX,United States,REIT - Residential,Real Estate,1650,NYQ,Camden Property Trust,Camden Property Trust
CPB,Camden,NJ,United States,Packaged Foods,Consumer Defensive,14500,NYQ,Campbell Soup Company,Campbell Soup Company
COF,McLean,VA,United States,Credit Services,Financial Services,55600,NYQ,Capital One Financial Corporati,Capital One Financial Corporation
CAH,Dublin,OH,United States,Medical Distribution,Healthcare,47040,NYQ,"Cardinal Health, Inc.","Cardinal Health, Inc."
KMX,Richmond,VA,United States,Auto & Truck Dealerships,Consumer Cyclical,30000,NYQ,CarMax Inc,"CarMax, Inc."
CCL,Miami,FL,United States,Travel Services,Consumer Cyclical,87000,NYQ,Carnival Corporation,Carnival Corporation & plc
CARR,Palm Beach Gardens,FL,United States,Building Products & Equipment,Industrials,52000,NYQ,Carrier Global Corporation,Carrier Global Corporation
CTLT,Somerset,NJ,United States,Drug Manufacturers - Specialty & Generic,Healthcare,17800,NYQ,"Catalent, Inc.","Catalent, Inc."
CAT,,,,,,,NYQ,"Caterpillar, Inc.",Caterpillar Inc.
CBOE,Chicago,IL,United States,Financial Data & Stock Exchanges,Financial Services,1543,BTS,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc."
CBRE,Dallas,TX,United States,Real Estate Services,Real Estate,115000,NYQ,CBRE Group Inc,"CBRE Group, Inc."
CDW,Vernon Hills,IL,United States,Information Technology Services,Technology,11100,NMS,CDW Corporation,CDW Corporation
CE,Irving,TX,United States,Chemicals,Basic Materials,13263,NYQ,Celanese Corporation,Celanese Corporation
COR,Conshohocken,PA,United States,Medical Distribution,Healthcare,46000,NYQ,"Cencora, Inc.","Cencora, Inc."
CNC,Saint Louis,MO,United States,Healthcare Plans,Healthcare,74300,NYQ,Centene Corporation,Centene Corporation
CNP,Houston,TX,United States,Utilities - Regulated Electric,Utilities,8986,NYQ,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc."
CDAY,Minneapolis,MN,United States,Software - Application,Technology,8526,NYQ,Ceridian HCM Holding Inc.,Ceridian HCM Holding Inc.
CF,Deerfield,IL,United States,Agricultural Inputs,Basic Materials,2700,NYQ,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc."
CRL,Wilmington,MA,United States,Diagnostics & Research,Healthcare,20000,NYQ,Charles River Laboratories Inte,"Charles River Laboratories International, Inc."
SCHW,Westlake,TX,United States,Capital Markets,Financial Services,35300,NYQ,Charles Schwab Corporation (The,The Charles Schwab Corporation
CHTR,Stamford,CT,United States,Telecom Services,Communication Services,101700,NMS,"Charter Communications, Inc.","Charter Communications, Inc."
CVX,San Ramon,CA,United States,Oil & Gas Integrated,Energy,43846,NYQ,Chevron Corporation,Chevron Corporation
CMG,Newport Beach,CA,United States,Restaurants,Consumer Cyclical,104958,NYQ,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc."
CB,Zurich,,Switzerland,Insurance - Property & Casualty,Financial Services,34000,NYQ,Chubb Limited,Chubb Limited
CHD,Ewing,NJ,United States,Household & Personal Products,Consumer Defensive,5250,NYQ,"Church & Dwight Company, Inc.","Church & Dwight Co., Inc."
CI,Bloomfield,CT,United States,Healthcare Plans,Healthcare,71300,NYQ,The Cigna Group,The Cigna Group
CINF,Fairfield,OH,United States,Insurance - Property & Casualty,Financial Services,5148,NMS,Cincinnati Financial Corporatio,Cincinnati Financial Corporation
CTAS,Cincinnati,OH,United States,Specialty Business Services,Industrials,44500,NMS,Cintas Corporation,Cintas Corporation
CSCO,San Jose,CA,United States,Communication Equipment,Technology,84900,NMS,"Cisco Systems, Inc.","Cisco Systems, Inc."
C,New York,NY,United States,Banks - Diversified,Financial Services,240000,NYQ,"Citigroup, Inc.",Citigroup Inc.
CFG,Providence,RI,United States,Banks - Regional,Financial Services,18214,NYQ,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc."
CLX,Oakland,CA,United States,Household & Personal Products,Consumer Defensive,8700,NYQ,Clorox Company (The),The Clorox Company
CME,Chicago,IL,United States,Financial Data & Stock Exchanges,Financial Services,3460,NMS,CME Group Inc.,CME Group Inc.
CMS,Jackson,MI,United States,Utilities - Regulated Electric,Utilities,8560,NYQ,CMS Energy Corporation,CMS Energy Corporation
KO,Atlanta,GA,United States,Beverages - Non-Alcoholic,Consumer Defensive,82500,NYQ,Coca-Cola Company (The),The Coca-Cola Company
CTSH,Teaneck,NJ,United States,Information Technology Services,Technology,345600,NMS,Cognizant Technology Solutions ,Cognizant Technology Solutions Corporation
CL,New York,NY,United States,Household & Personal Products,Consumer Defensive,33800,NYQ,Colgate-Palmolive Company,Colgate-Palmolive Company
CMCSA,Philadelphia,PA,United States,Telecom Services,Communication Services,186000,NMS,Comcast Corporation,Comcast Corporation
CMA,Dallas,TX,United States,Banks - Regional,Financial Services,7280,NYQ,Comerica Incorporated,Comerica Incorporated
CAG,Chicago,IL,United States,Packaged Foods,Consumer Defensive,18600,NYQ,"ConAgra Brands, Inc.","Conagra Brands, Inc."
COP,Houston,TX,United States,Oil & Gas E&P,Energy,9700,NYQ,ConocoPhillips,ConocoPhillips
ED,New York,NY,United States,Utilities - Regulated Electric,Utilities,14319,NYQ,"Consolidated Edison, Inc.","Consolidated Edison, Inc."
STZ,Victor,NY,United States,Beverages - Wineries & Distilleries,Consumer Defensive,10700,NYQ,"Constellation Brands, Inc.","Constellation Brands, Inc."
CEG,Baltimore,MD,United States,Utilities - Renewable,Utilities,13370,NMS,Constellation Energy Corporatio,Constellation Energy Corporation
